municipality,year,all_female_records,lesao_corporal,violencia_domestica_lesao,estupro,estupro_vulneravel,violencia_sexual,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records
CURUCA,2023,219,37,22,5,18,23,2,0,0,45
DOM ELISEU,2023,164,49,25,2,24,26,2,0,0,51
ELDORADO DOS CARAJAS,2023,111,38,29,6,12,18,1,1,0,48
FARO,2023,58,37,23,2,5,7,0,0,0,30
FLORESTA DO ARAGUAIA,2023,96,39,26,5,14,19,2,0,0,45
GARRAFAO DO NORTE,2023,89,31,26,2,13,15,2,2,0,43
GOIANESIA DO PARA,2023,133,37,26,2,21,23,1,0,0,49
GURUPA,2023,124,50,28,1,23,24,0,0,0,52
IGARAPE-ACU,2023,246,71,44,4,15,19,0,0,0,63
IGARAPE-MIRI,2023,242,100,73,5,15,20,2,0,0,93
INHANGAPI,2023,40,15,10,0,7,7,0,0,0,17
IPIXUNA DO PARA,2023,183,72,46,2,16,18,2,1,0,65
IRITUIA,2023,105,31,24,4,10,14,1,0,0,38
ITAITUBA,2023,1074,320,219,20,96,116,4,1,0,336
ITUPIRANGA,2023,237,97,69,5,24,29,0,0,0,98
JACAREACANGA,2023,91,34,20,0,9,9,1,0,0,29
JACUNDA,2023,196,71,51,1,24,25,2,2,0,78
JURUTI,2023,450,128,76,6,33,39,3,0,0,115
LIMOEIRO DO AJURU,2023,99,43,25,2,17,19,0,0,0,44
MAE DO RIO,2023,140,33,27,1,23,24,1,0,0,51
MAGALHAES BARATA,2023,45,15,7,0,7,7,0,0,0,14
MARABA,2023,2227,519,354,27,110,137,6,3,0,494
MARACANA,2023,138,41,30,2,26,28,0,0,0,58
MARAPANIM,2023,233,53,33,4,15,19,2,0,0,52
MARITUBA,2023,1151,202,140,5,31,36,6,1,0,177
MEDICILANDIA,2023,116,41,29,3,26,29,4,2,0,60
MELGACO,2023,136,64,33,3,9,12,1,0,0,45
MOCAJUBA,2023,167,63,29,1,9,10,0,0,0,39
MOJU,2023,420,119,85,8,45,53,0,0,0,138
MOJUI DOS CAMPOS,2023,38,11,7,2,8,10,0,0,0,17
MONTE ALEGRE,2023,222,87,66,1,27,28,0,0,0,94
MUANA,2023,234,99,56,8,28,36,0,0,0,92
NOVA ESPERANCA DO PIRIA,2023,73,25,17,5,15,20,0,0,0,37
NOVA IPIXUNA,2023,62,19,14,2,10,12,1,0,0,26
NOVA TIMBOTEUA,2023,44,19,13,1,4,5,0,0,0,18
NOVO PROGRESSO,2023,231,84,61,6,26,32,1,0,0,93
NOVO REPARTIMENTO,2023,217,74,57,6,41,47,1,1,0,105
OBIDOS,2023,255,89,54,2,28,30,0,0,0,84
OEIRAS DO PARA,2023,258,82,43,2,21,23,1,1,0,67
ORIXIMINA,2023,509,125,87,6,31,37,2,0,0,124
OUREM,2023,77,25,15,1,3,4,0,0,0,19
OURILANDIA DO NORTE,2023,175,44,36,3,21,24,2,1,0,61
PACAJA,2023,153,62,42,5,26,31,3,1,0,74
PALESTINA DO PARA,2023,37,16,14,1,3,4,0,0,0,18
PARAGOMINAS,2023,858,227,171,14,65,79,5,2,0,252
PARAUAPEBAS,2023,1996,547,373,38,153,191,6,2,0,566
PAU D ARCO,2023,34,15,8,0,5,5,0,0,0,13
PEIXE-BOI,2023,44,12,10,0,4,4,0,0,0,14
PICARRA,2023,34,23,17,0,6,6,0,0,0,23
