municipality_code,municipality,women_policy_body_exists_raw,women_policy_body_exists,specialized_women_police_station_raw,specialized_women_police_station,programs_actions_for_women_raw,human_rights_protection_women_raw,programs_actions_for_women,human_rights_protection_women,campaigns_against_violence_women,campaigns_indicator_status,institutional_score_available_4,institutional_coverage,population_2023,police_all_female_records,police_violencia_domestica_lesao,police_lesao_corporal,police_violencia_sexual,police_estupro,police_estupro_vulneravel,police_homicidio_mulher,police_feminicidio,police_tentativa_feminicidio,police_feminicidio_any,police_police_years_observed,rate_all_female_records_per_100k_population_2022_2025,rate_violencia_domestica_lesao_per_100k_population_2022_2025,rate_lesao_corporal_per_100k_population_2022_2025,rate_violencia_sexual_per_100k_population_2022_2025,rate_estupro_per_100k_population_2022_2025,rate_estupro_vulneravel_per_100k_population_2022_2025,rate_homicidio_mulher_per_100k_population_2022_2025,rate_feminicidio_any_per_100k_population_2022_2025,institutional_deficit_available_4,cnes_active_establishments,cnes_ubs,cnes_hospitals,cnes_caps,cnes_emergency_units,cnes_obstetric_centers,cnes_health_service_deficit,cnes_active_establishments_per_100k_population,cnes_ubs_per_100k_population,cnes_hospitals_per_100k_population,cnes_caps_per_100k_population,cnes_emergency_units_per_100k_population,cnes_obstetric_centers_per_100k_population
1502756,Concórdia do Pará,Sim,1,Sim,1.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,4,4,26881,802,161,237,86,15,71,2,0,0,0,4,2983.5199583348835,598.9360514861798,881.6636285852461,319.9285740857855,55.80149548007887,264.12707860570663,7.440199397343849,0.0,0,27,0,0,0,0,0,4,100.44269186414195,0.0,0.0,0.0,0.0,0.0
1502764,Cumaru do Norte,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,14036,223,94,135,23,5,18,4,0,0,0,4,1588.7717298375603,669.7064690795098,961.8124821886576,163.86434881732686,35.62268452550584,128.24166429182105,28.49814762040468,0.0,3,24,0,0,0,0,0,4,170.98888572242805,0.0,0.0,0.0,0.0,0.0
1502772,Curionópolis,Não,0,Não,0.0,Sim,Não,1.0,0.0,,not_available_in_munic_2023_questionnaire,1,4,19950,442,109,164,46,9,37,3,1,0,1,4,2215.5388471177944,546.3659147869674,822.0551378446116,230.5764411027569,45.11278195488722,185.4636591478697,15.037593984962406,5.012531328320803,3,27,0,0,0,0,0,4,135.33834586466165,0.0,0.0,0.0,0.0,0.0
1502806,Curralinho,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,33903,899,134,264,84,23,61,2,0,0,0,4,2651.682741940241,395.2452585316933,778.6921511370675,247.76568445270328,67.84060407633542,179.92508037636787,5.899182963159602,0.0,3,27,0,0,0,0,0,4,79.63897000265463,0.0,0.0,0.0,0.0,0.0
1502855,Curuá,Não,0,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,2,4,14117,230,52,89,18,3,15,0,0,0,0,4,1629.2413402280936,368.350216051569,630.4455620882624,127.50584401785082,21.250974002975138,106.25487001487568,0.0,0.0,2,18,0,0,0,0,0,4,127.50584401785082,0.0,0.0,0.0,0.0,0.0
1502905,Curuçá,Não,0,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,2,4,41262,937,124,210,73,12,61,4,1,0,1,4,2270.8545392855413,300.51863700256894,508.9428529882216,176.91822984828656,29.08244874218409,147.83578110610244,9.69414958072803,2.423537395182008,2,35,0,0,0,0,0,4,84.82380883137027,0.0,0.0,0.0,0.0,0.0
1502939,Dom Eliseu,Não,0,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,2,4,58484,654,102,171,119,12,107,6,1,0,1,4,1118.254565351207,174.4066753300048,292.3876615826551,203.47445455167227,20.51843239176527,182.95602215990695,10.259216195882637,1.7098693659804391,2,55,0,0,0,0,0,4,94.04281512892415,0.0,0.0,0.0,0.0,0.0
1502954,Eldorado do Carajás,Sim,1,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,28192,513,136,191,88,14,74,4,3,0,3,4,1819.6651532349604,482.40635641316686,677.4971623155504,312.14528944381385,49.659477866061295,262.48581157775254,14.188422247446084,10.641316685584563,1,37,0,0,0,0,0,4,131.24290578887627,0.0,0.0,0.0,0.0,0.0
1503002,Faro,Não,0,Não,0.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,1,3,8728,261,87,135,56,12,44,0,0,0,0,4,2990.3758020164987,996.7919340054996,1546.7461044912925,641.6131989000917,137.4885426214482,504.1246562786435,0.0,0.0,2,14,0,0,0,0,0,4,160.40329972502292,0.0,0.0,0.0,0.0,0.0
1503044,Floresta do Araguaia,Não,0,Não,0.0,-,Sim,,1.0,,not_available_in_munic_2023_questionnaire,1,3,17898,304,81,118,73,8,65,7,3,0,3,4,1698.5138004246285,452.5645323499832,659.2915409542966,407.8668007598614,44.697731590121805,363.16906916973966,39.11051514135658,16.761649346295677,2,30,0,0,0,0,0,4,167.61649346295675,0.0,0.0,0.0,0.0,0.0
