Temas disponíveis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,variável
,Com recurso repassado pelo governo federal,,,,MSAN171111
,Com recurso repassado pelo governo estadual,,,,MSAN171112
,Com recurso próprio,,,,MSAN171113
Serviços de Assistência Técnica e Extensão Rural para agricultores familiares e povos e comunidades tradicionais,,,,,MSAN1712
,Com recurso repassado pelo governo federal,,,,MSAN171211
,Com recurso repassado pelo governo estadual,,,,MSAN171212
,Com recurso próprio,,,,MSAN171213
Compras públicas da agricultura familiar,,,,,MSAN1713
,Por meio de qual programa:,,,,
,,Programa Nacional de Alimentação Escolar (PNAE),,,MSAN171311
,,Programa de Aquisição de Alimentos (PAA),,,MSAN171312
,,Programas estaduais,,,MSAN171313
,,Programas próprios,,,MSAN171314
,Com recurso repassado pelo governo federal,,,,MSAN171321
,Com recurso repassado pelo governo estadual,,,,MSAN171322
,Com recurso próprio,,,,MSAN171323
Atividades relacionadas ao público do Cadastro Único e/ou Programa Bolsa Família,,,,,MSAN1714
,Por meio de qual programa:,,,,
,,Cursos de capacitação e/ou educação alimentar e nutricional,,,MSAN171411
,,"Encaminhamento a outras redes de serviços (assistência, saúde, educação)",,,MSAN171412
,,Avaliação nutricional,,,MSAN171413
,,Disseminação de orientações técnicas e materiais informativos,,,MSAN171414
,,Atividades relacionadas à geração de trabalho e renda,,,MSAN171415
,Com recurso repassado pelo governo federal,,,,MSAN171421
,Com recurso repassado pelo governo estadual,,,,MSAN171422
,Com recurso próprio,,,,MSAN171423
"Programa cisternas, incluindo água para consumo e produção",,,,,MSAN1715
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(4) Para grupos específicos e/ou povos indígenas, comunidades quilombolas, e demais povos ou comunidades tradicionais.",,,,,
"(5) Centrais de abastecimento - Ceasas, entrepostos.",,,,,
(6) Hortas comunitárias em terrenos urbanos.,,,,,
,,,,,
,,,,,
5. POLÍTICA PARA MULHERES,,,,,
5.1 Organismo executivo de políticas para as mulheres e perfil do gestor,,,,,
5.2 Plano municipal de políticas para as mulheres,,,,,
5.3 Conselho e fundo estadual de direitos da mulher,,,,,
5.4 Estrutura e serviços,,,,,
5.5 Levantamento de informações,,,,,
,,,,,
5. POLÍTICA PARA MULHERES,,,,,
5.1 Organismo executivo de políticas para as mulheres e perfil do gestor,,,,,
Organismo executivo de políticas para as mulheres - existência,,,,,MPPM01
,Caracteriza-se como,,,,MPPM02
,,Secretaria ou setor a qual está associada ou subordinada:,,,
,,,Assistência social,,MPPM031
,,,Direitos humanos,,MPPM032
,,,Justiça,,MPPM033
,,,Segurança pública,,MPPM034
,,,Saúde,,MPPM035
,,,Outra,,MPPM036
,Nome do organismo executivo da política para mulheres,,,,MPPM04
,,,,,
,Perfil do gestor:,,,,
,,Sexo,,,MPPM05
,,Idade ,,,MPPM06
,,Cor/raça,,,MPPM07
,,,Este quesito foi respondido pelo próprio titular,,MPPM071
,,Escolaridade,,,MPPM08
,,,,,
"Principais áreas de atuação do organismo executivo de políticas para as mulheres, seja na execução direta ou na articulação com outros órgãos:",,,,,
,Educação,,,,MPPM10a1
,Trabalho,,,,MPPM10a2
,Cultura,,,,MPPM10a3
,Esporte,,,,MPPM10a4
,Assistência social,,,,MPPM10a5
,Segurança pública,,,,MPPM10a6
,Justiça,,,,MPPM10a7
,Comunicação,,,,MPPM10a8
,Meio ambiente,,,,MPPM10a9
,Saúde,,,,MPPM10a10
,Outra,,,,MPPM10a11
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"Não soube informar - existe, mas não soube informar o número. ",,,,,
"(**) Sem gestor - apesar de ter estrutura para a política, no momento da coleta da informação não tinha gestor nomeado.",,,,,
,,,,,
"5.2 Plano municipal de políticas para as mulheres e programa, projeto ou ação em cooperação",,,,,
Plano municipal de políticas para as mulheres - existência,,,,,MPPM11
