municipality_code,municipality,method,transport_scenario,macro_weight_scheme,score,rank,positive_flow,negative_flow,net_flow
1502103,Cametá,additive,equal_modes__equal_roles,equal_dimensions,0.1234597851170885,143,,,
1502202,Capanema,additive,equal_modes__equal_roles,equal_dimensions,0.1061067677640711,144,,,
1506401,Santa Cruz do Arari,topsis,equal_modes__equal_roles,equal_dimensions,0.8389599071472456,1,,,
1501253,Bannach,topsis,equal_modes__equal_roles,equal_dimensions,0.7757985510886336,5,,,
1508050,Trairão,topsis,equal_modes__equal_roles,equal_dimensions,0.7822844979515786,2,,,
1507961,Terra Alta,topsis,equal_modes__equal_roles,equal_dimensions,0.7798574214574213,3,,,
1504752,Mojuí dos Campos,topsis,equal_modes__equal_roles,equal_dimensions,0.7133918651025264,7,,,
1505551,Pau DArco,topsis,equal_modes__equal_roles,equal_dimensions,0.7764412941851205,4,,,
1506112,Quatipuru,topsis,equal_modes__equal_roles,equal_dimensions,0.6898321205765723,8,,,
1501006,Aveiro,topsis,equal_modes__equal_roles,equal_dimensions,0.6467712258358743,17,,,
1501956,Cachoeira do Piriá,topsis,equal_modes__equal_roles,equal_dimensions,0.6611203298786845,10,,,
1505106,Óbidos,topsis,equal_modes__equal_roles,equal_dimensions,0.644363818800565,18,,,
1500859,Anapu,topsis,equal_modes__equal_roles,equal_dimensions,0.6550990329380741,12,,,
1503200,Igarapé-Açu,topsis,equal_modes__equal_roles,equal_dimensions,0.6508445954762437,14,,,
1504901,Muaná,topsis,equal_modes__equal_roles,equal_dimensions,0.6000855687613798,31,,,
1502764,Cumaru do Norte,topsis,equal_modes__equal_roles,equal_dimensions,0.6490867793527461,15,,,
1506583,Santa Maria das Barreiras,topsis,equal_modes__equal_roles,equal_dimensions,0.6779045819539987,9,,,
1507805,Senador José Porfírio,topsis,equal_modes__equal_roles,equal_dimensions,0.7435485188852565,6,,,
1507474,São João de Pirabas,topsis,equal_modes__equal_roles,equal_dimensions,0.6388695695469491,19,,,
1506906,Santarém Novo,topsis,equal_modes__equal_roles,equal_dimensions,0.6376843164306447,20,,,
1502806,Curralinho,topsis,equal_modes__equal_roles,equal_dimensions,0.5707667746970806,38,,,
1501451,Belterra,topsis,equal_modes__equal_roles,equal_dimensions,0.618613088918987,24,,,
1507102,São Caetano de Odivelas,topsis,equal_modes__equal_roles,equal_dimensions,0.6026312088571939,30,,,
1508001,Tomé-Açu,topsis,equal_modes__equal_roles,equal_dimensions,0.6063816302791386,27,,,
1505601,Peixe-Boi,topsis,equal_modes__equal_roles,equal_dimensions,0.6485171643805685,16,,,
1505437,Ourilândia do Norte,topsis,equal_modes__equal_roles,equal_dimensions,0.5559970491753712,41,,,
1505403,Ourém,topsis,equal_modes__equal_roles,equal_dimensions,0.5927799747603677,32,,,
1500404,Alenquer,topsis,equal_modes__equal_roles,equal_dimensions,0.5525148205176426,42,,,
1507003,Santo Antônio do Tauá,topsis,equal_modes__equal_roles,equal_dimensions,0.6049396961577118,28,,,
1504000,Limoeiro do Ajuru,topsis,equal_modes__equal_roles,equal_dimensions,0.6364728003900174,21,,,
1505031,Novo Progresso,topsis,equal_modes__equal_roles,equal_dimensions,0.538240886550031,48,,,
1505635,Piçarra,topsis,equal_modes__equal_roles,equal_dimensions,0.6604834917714255,11,,,
1504802,Monte Alegre,topsis,equal_modes__equal_roles,equal_dimensions,0.5432743831093033,45,,,
1501725,Brasil Novo,topsis,equal_modes__equal_roles,equal_dimensions,0.5294958479105807,49,,,
1507466,São João da Ponta,topsis,equal_modes__equal_roles,equal_dimensions,0.6263912590385943,23,,,
1503309,Igarapé-Miri,topsis,equal_modes__equal_roles,equal_dimensions,0.6074000730776126,26,,,
1506195,Rurópolis,topsis,equal_modes__equal_roles,equal_dimensions,0.5677005496452129,39,,,
1503408,Inhangapi,topsis,equal_modes__equal_roles,equal_dimensions,0.651351765857953,13,,,
1501576,Bom Jesus do Tocantins,topsis,equal_modes__equal_roles,equal_dimensions,0.604614963554534,29,,,
1508159,Uruará,topsis,equal_modes__equal_roles,equal_dimensions,0.519499123528399,55,,,
1502772,Curionópolis,topsis,equal_modes__equal_roles,equal_dimensions,0.5880262911621714,34,,,
1503002,Faro,topsis,equal_modes__equal_roles,equal_dimensions,0.5399711655474645,46,,,
1502608,Colares,topsis,equal_modes__equal_roles,equal_dimensions,0.5813815087665313,37,,,
1507151,São Domingos do Araguaia,topsis,equal_modes__equal_roles,equal_dimensions,0.5268412334247168,51,,,
1501758,Brejo Grande do Araguaia,topsis,equal_modes__equal_roles,equal_dimensions,0.6093117031202528,25,,,
1504455,Medicilândia,topsis,equal_modes__equal_roles,equal_dimensions,0.5236788604783612,53,,,
1505809,Portel,topsis,equal_modes__equal_roles,equal_dimensions,0.5213959554501607,54,,,
1500909,Augusto Corrêa,topsis,equal_modes__equal_roles,equal_dimensions,0.5874505312927443,35,,,
1505007,Nova Timboteua,topsis,equal_modes__equal_roles,equal_dimensions,0.5187733108820478,56,,,
1507458,São Geraldo do Araguaia,topsis,equal_modes__equal_roles,equal_dimensions,0.5172453944891535,57,,,
1505494,Palestina do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.6280281409985435,22,,,
1500701,Anajás,topsis,equal_modes__equal_roles,equal_dimensions,0.5021603196994385,59,,,
1507508,São João do Araguaia,topsis,equal_modes__equal_roles,equal_dimensions,0.5001763104729983,60,,,
1505650,Placas,topsis,equal_modes__equal_roles,equal_dimensions,0.5586988477663213,40,,,
1501600,Bonito,topsis,equal_modes__equal_roles,equal_dimensions,0.48857385624854627,65,,,
1500131,Abel Figueiredo,topsis,equal_modes__equal_roles,equal_dimensions,0.5927459965830739,33,,,
1503093,Goianésia do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.5522608443172909,43,,,
1500347,Água Azul do Norte,topsis,equal_modes__equal_roles,equal_dimensions,0.5490671783009722,44,,,
1506609,Santa Maria do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.48909179663915014,64,,,
1508126,Ulianópolis,topsis,equal_modes__equal_roles,equal_dimensions,0.5386985246373642,47,,,
1505304,Oriximiná,topsis,equal_modes__equal_roles,equal_dimensions,0.47853744391257064,69,,,
1506351,Santa Bárbara do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.5279362911476176,50,,,
1507755,Sapucaia,topsis,equal_modes__equal_roles,equal_dimensions,0.5864161822021624,36,,,
1503754,Jacareacanga,topsis,equal_modes__equal_roles,equal_dimensions,0.4848184312191629,66,,,
1504109,Magalhães Barata,topsis,equal_modes__equal_roles,equal_dimensions,0.4837453900017699,67,,,
1504950,Nova Esperança do Piriá,topsis,equal_modes__equal_roles,equal_dimensions,0.5258291487830035,52,,,
1505205,Oeiras do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.46379702859318694,70,,,
1505064,Novo Repartimento,topsis,equal_modes__equal_roles,equal_dimensions,0.4548575339074146,76,,,
1504406,Marapanim,topsis,equal_modes__equal_roles,equal_dimensions,0.4606625094997475,72,,,
1508308,Viseu,topsis,equal_modes__equal_roles,equal_dimensions,0.449188046703645,79,,,
1503044,Floresta do Araguaia,topsis,equal_modes__equal_roles,equal_dimensions,0.5124434944852042,58,,,
1506104,Primavera,topsis,equal_modes__equal_roles,equal_dimensions,0.4612502478359821,71,,,
1506187,Rondon do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.44799351311884916,80,,,
1502855,Curuá,topsis,equal_modes__equal_roles,equal_dimensions,0.4959299455937484,62,,,
1500958,Aurora do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.44605010356810537,81,,,
1504307,Maracanã,topsis,equal_modes__equal_roles,equal_dimensions,0.4509357017264882,77,,,
1504505,Melgaço,topsis,equal_modes__equal_roles,equal_dimensions,0.49775845509273897,61,,,
1506708,Santana do Araguaia,topsis,equal_modes__equal_roles,equal_dimensions,0.42970947215973065,85,,,
1502905,Curuçá,topsis,equal_modes__equal_roles,equal_dimensions,0.4956938287383584,63,,,
1504059,Mãe do Rio,topsis,equal_modes__equal_roles,equal_dimensions,0.43446377870219277,83,,,
1504604,Mocajuba,topsis,equal_modes__equal_roles,equal_dimensions,0.4333652990818426,84,,,
1500503,Almeirim,topsis,equal_modes__equal_roles,equal_dimensions,0.42854240761819035,86,,,
1504703,Moju,topsis,equal_modes__equal_roles,equal_dimensions,0.4494822360481503,78,,,
1500206,Acará,topsis,equal_modes__equal_roles,equal_dimensions,0.4141401401488816,94,,,
1507409,São Francisco do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.42352624244848175,91,,,
1506203,Salinópolis,topsis,equal_modes__equal_roles,equal_dimensions,0.47885354637097216,68,,,
1508209,Vigia,topsis,equal_modes__equal_roles,equal_dimensions,0.42059870704788366,92,,,
1507953,Tailândia,topsis,equal_modes__equal_roles,equal_dimensions,0.4179015033584309,93,,,
1501907,Bujaru,topsis,equal_modes__equal_roles,equal_dimensions,0.45924754794415723,73,,,
1508357,Vitória do Xingu,topsis,equal_modes__equal_roles,equal_dimensions,0.4579189584092889,74,,,
1505486,Pacajá,topsis,equal_modes__equal_roles,equal_dimensions,0.39760059398492964,98,,,
1503903,Juruti,topsis,equal_modes__equal_roles,equal_dimensions,0.396608761173334,99,,,
1501782,Breu Branco,topsis,equal_modes__equal_roles,equal_dimensions,0.4026075739826441,97,,,
1502954,Eldorado do Carajás,topsis,equal_modes__equal_roles,equal_dimensions,0.45781636828315586,75,,,
1507979,Terra Santa,topsis,equal_modes__equal_roles,equal_dimensions,0.41273917123347703,95,,,
1506005,Prainha,topsis,equal_modes__equal_roles,equal_dimensions,0.394707533921734,101,,,
1504422,Marituba,topsis,equal_modes__equal_roles,equal_dimensions,0.3847050342643487,106,,,
1501105,Bagre,topsis,equal_modes__equal_roles,equal_dimensions,0.40493318602497325,96,,,
1502301,Capitão Poço,topsis,equal_modes__equal_roles,equal_dimensions,0.42842534970437207,87,,,
1508084,Tucumã,topsis,equal_modes__equal_roles,equal_dimensions,0.37818261120277097,107,,,
1508035,Tracuateua,topsis,equal_modes__equal_roles,equal_dimensions,0.4450409869937605,82,,,
1502004,Cachoeira do Arari,topsis,equal_modes__equal_roles,equal_dimensions,0.3860476345503309,104,,,
1500305,Afuá,topsis,equal_modes__equal_roles,equal_dimensions,0.39527717659063094,100,,,
1503101,Gurupá,topsis,equal_modes__equal_roles,equal_dimensions,0.39443285130484906,102,,,
1504976,Nova Ipixuna,topsis,equal_modes__equal_roles,equal_dimensions,0.4275166069673889,90,,,
1506559,Santa Luzia do Pará,topsis,equal_modes__equal_roles,equal_dimensions,0.3742375944080095,108,,,
1501501,Benevides,topsis,equal_modes__equal_roles,equal_dimensions,0.3856666802092094,105,,,
1502939,Dom Eliseu,topsis,equal_modes__equal_roles,equal_dimensions,0.35293332337670313,112,,,
1502707,Conceição do Araguaia,topsis,equal_modes__equal_roles,equal_dimensions,0.4276622099168927,88,,,
1503804,Jacundá,topsis,equal_modes__equal_roles,equal_dimensions,0.3619784921534401,109,,,
1503077,Garrafão do Norte,topsis,equal_modes__equal_roles,equal_dimensions,0.36104921267353624,110,,,
1507300,São Félix do Xingu,topsis,equal_modes__equal_roles,equal_dimensions,0.3601232749336019,111,,,
1507706,São Sebastião da Boa Vista,topsis,equal_modes__equal_roles,equal_dimensions,0.390609123246108,103,,,
