municipality_code,municipality,institutional_deficit,service_component_health_deficit,service_component_social_protection_deficit,service_component_justice_deficit,service_component_specialized_protection_network_deficit,service_network_deficit,mean_priority_score,mean_priority_rank,best_priority_rank,worst_priority_rank,priority_rank_range,top_10_frequency,top_quartile_frequency,bottom_quartile_frequency,priority_stability_profile
1502707,Conceição do Araguaia,0.10833333333333335,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.38065797838525106,104.64583333333333,78,119,41,0.0,0.0,0.5208333333333334,intermediate_or_scenario_sensitive
1503804,Jacundá,0.2291666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.3758049610322339,106.875,84,114,30,0.0,0.0,0.4583333333333333,intermediate_or_scenario_sensitive
1503077,Garrafão do Norte,0.2291666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.37489846012573286,107.04166666666667,81,123,42,0.0,0.0,0.3958333333333333,intermediate_or_scenario_sensitive
1507300,São Félix do Xingu,0.2291666666666667,0.0,0.0,1.0,0.2289921688798094,0.30724804221995233,0.3738320979894014,107.22916666666667,83,120,37,0.0,0.0,0.4583333333333333,intermediate_or_scenario_sensitive
1507706,São Sebastião da Boa Vista,0.0,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.36669138941866214,107.64583333333333,71,128,57,0.0,0.0,0.5833333333333334,intermediate_or_scenario_sensitive
1502756,Concórdia do Pará,0.0,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.3694108921381651,107.95833333333333,82,127,45,0.0,0.0,0.5208333333333334,intermediate_or_scenario_sensitive
1506500,Santa Izabel do Pará,0.5916666666666667,0.0,0.0,0.0,1.0,0.25,0.38091815591815587,108.6875,89,123,34,0.0,0.0,0.6041666666666666,intermediate_or_scenario_sensitive
1503507,Irituia,0.35833333333333334,0.0,0.0,0.0,1.0,0.25,0.3694444444444444,110.39583333333333,95,120,25,0.0,0.0,0.6041666666666666,intermediate_or_scenario_sensitive
1503705,Itupiranga,0.2291666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.357027442254715,113.0625,93,120,27,0.0,0.0,0.8125,robust_lower_relative_priority
1503457,Ipixuna do Pará,0.35833333333333334,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.3477649454922182,115.22916666666667,103,129,26,0.0,0.0,0.75,robust_lower_relative_priority
1502509,Chaves,0.10833333333333335,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.34210520119611026,115.64583333333333,85,126,41,0.0,0.0,0.8333333333333334,robust_lower_relative_priority
1506302,Salvaterra,0.2291666666666667,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.34566969226060135,116.02083333333333,99,127,28,0.0,0.0,0.9583333333333334,robust_lower_relative_priority
1507607,São Miguel do Guamá,0.35833333333333334,0.0,0.0,0.0,1.0,0.25,0.3403069153069153,116.25,98,132,34,0.0,0.0,0.7708333333333334,robust_lower_relative_priority
1501204,Baião,0.10833333333333335,0.2231404958677686,0.0,0.0,0.6320224719101124,0.21379074194447026,0.3365899209744972,117.16666666666667,92,126,34,0.0,0.0,0.8125,robust_lower_relative_priority
1506138,Redenção,0.2291666666666667,0.2231404958677686,0.0,1.0,0.15595846101464084,0.3447747392206023,0.3363539470025682,117.6875,107,128,21,0.0,0.0,0.9375,robust_lower_relative_priority
1500602,Altamira,0.2291666666666667,0.0,0.0,0.0,0.032448076268300985,0.008112019067075246,0.31543063158231704,118.79166666666667,88,131,43,0.0,0.0,0.875,robust_lower_relative_priority
1502400,Castanhal,0.5916666666666667,0.0,0.0,0.0,0.2289921688798094,0.05724804221995235,0.3094154960727994,120.85416666666667,97,134,37,0.0,0.0,0.75,robust_lower_relative_priority
1505908,Porto de Moz,0.2291666666666667,0.2231404958677686,0.0,0.0,0.6320224719101124,0.21379074194447026,0.31626163814621416,120.875,97,128,31,0.0,0.0,0.9583333333333334,robust_lower_relative_priority
1505536,Parauapebas,0.2291666666666667,0.0,0.0,0.0,0.032448076268300985,0.008112019067075246,0.30286911902080443,122.47916666666667,100,131,31,0.0,0.0,0.9375,robust_lower_relative_priority
1505700,Ponta de Pedras,0.10833333333333335,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.3105719196628289,122.89583333333333,108,129,21,0.0,0.0,0.9791666666666666,robust_lower_relative_priority
1507201,São Domingos do Capim,0.10833333333333335,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.3022456499729227,124.5625,107,131,24,0.0,0.0,0.9791666666666666,robust_lower_relative_priority
1508100,Tucuruí,0.2291666666666667,0.0,0.0,1.0,0.10747361252979232,0.2768684031324481,0.29053797845932683,126.22916666666667,121,132,11,0.0,0.0,1.0,robust_lower_relative_priority
1501709,Bragança,0.0,0.0,0.0,1.0,0.2289921688798094,0.30724804221995233,0.27542818708549044,127.72916666666667,107,137,30,0.0,0.0,0.9791666666666666,robust_lower_relative_priority
1506807,Santarém,0.0,0.0,0.0,1.0,0.01729656111678579,0.2543241402791965,0.2711253997770851,127.95833333333333,109,136,27,0.0,0.0,1.0,robust_lower_relative_priority
1506161,Rio Maria,0.2291666666666667,0.2231404958677686,0.0,0.0,0.2289921688798094,0.11303316618689449,0.24434374122831737,131.02083333333334,124,135,11,0.0,0.0,1.0,robust_lower_relative_priority
1502152,Canaã dos Carajás,0.0,0.2231404958677686,0.0,0.0,0.2289921688798094,0.11303316618689449,0.2290789134634895,132.58333333333334,124,138,14,0.0,0.0,1.0,robust_lower_relative_priority
1507904,Soure,0.0,0.4256198347107438,0.0,0.0,0.2289921688798094,0.1636530008976383,0.21901616476437724,133.6875,126,138,12,0.0,0.0,1.0,robust_lower_relative_priority
