municipality_code,municipality,mean_priority_score,mean_priority_rank,top_quartile_frequency,priority_stability_profile,female_population_2022,selected_vaw_records_2022_2025,mean_annual_selected_vaw_rate_per_100k_women,rate_2022,rate_2023,rate_2024,rate_2025,rate_linear_slope_per_year,rate_cv,years_at_or_above_state_median,contextual_pattern
1506609,Santa Maria do Pará,0.5478814956087682,56.354166666666664,0,intermediate_or_scenario_sensitive,12477,132,264.4866554460207,312.57513825438804,208.3834255029254,192.35393123346958,344.6341267932997,8.014747134727912,0.24711373379242557,0,other_priority_lower_observed_rate
1508126,Ulianópolis,0.5347760825033554,59.416666666666664,0,intermediate_or_scenario_sensitive,18972,266,350.516550706304,247.73350200295172,479.6542272823108,263.54627872654436,411.1321948134092,27.408812987560605,0.27981645211922407,2,other_priority_lower_observed_rate
1505304,Oriximiná,0.5291428268700995,60.875,0.10416666666666667,intermediate_or_scenario_sensitive,33838,438,323.60068561971747,384.18346237957326,366.4519179620545,265.9731662627815,277.7941958744607,-41.96465512146107,0.16150446743221364,1,other_priority_lower_observed_rate
1506351,Santa Bárbara do Pará,0.5344782322055049,61.625,0,intermediate_or_scenario_sensitive,10602,148,348.99075646104507,330.12639124693453,396.15166949632146,254.6689303904924,415.016034710432,11.318619128466333,0.18029275762332883,3,other_priority_lower_observed_rate
1507755,Sapucaia,0.5314343905252997,61.625,0.20833333333333334,intermediate_or_scenario_sensitive,2879,60,521.0142410559222,347.34282737061477,451.54567558179923,486.2799583188607,798.888502952414,138.9371309482459,0.32317865716108857,4,other_priority_higher_observed_rate
1503754,Jacareacanga,0.5246485837394929,62.020833333333336,0.020833333333333332,intermediate_or_scenario_sensitive,11482,129,280.87441212332345,165.47639784009755,252.56923880856993,322.2435115833478,383.2085002612785,72.28705800383207,0.28870115425637316,1,other_priority_lower_observed_rate
1504109,Magalhães Barata,0.5186739186739187,63.333333333333336,0,intermediate_or_scenario_sensitive,3964,55,346.8718466195761,302.72452068617554,353.1786074672048,353.1786074672048,378.4056508577195,22.704339051463183,0.07925270806437594,1,other_priority_lower_observed_rate
1504950,Nova Esperança do Piriá,0.5145643497916225,63.916666666666664,0,intermediate_or_scenario_sensitive,9962,135,338.7873920899418,200.76289901626183,371.4113631800843,250.95362377032725,532.0216823930938,87.33186107207388,0.3767597029934672,2,other_priority_lower_observed_rate
1505205,Oeiras do Pará,0.5111423088695818,65.5625,0,intermediate_or_scenario_sensitive,16201,362,558.6074933646071,481.45176223689896,413.5547188445158,611.0733905314487,728.3501018455651,93.82136905129312,0.21659995341339955,4,other_priority_higher_observed_rate
1505064,Novo Repartimento,0.5142644392644392,66.27083333333333,0,intermediate_or_scenario_sensitive,29423,339,288.0399687319444,186.92859327736804,356.8636780749753,295.6870475478367,312.6805560275975,31.60792577235498,0.2169896747091798,0,other_priority_lower_observed_rate
