municipality_code,municipality,method,mean_score,mean_rank,best_rank,worst_rank,top_10_frequency,top_quartile_frequency
1504505,Melgaço,topsis,0.4957544242929029,62.0625,23,99,0.0,0.08333333333333333
1504604,Mocajuba,additive,0.47514127286854557,78.54166666666667,58,90,0.0,0.0
1504604,Mocajuba,promethee_ii,0.48123200244654735,81.45833333333333,63,99,0.0,0.0
1504604,Mocajuba,topsis,0.43943393826685306,83.4375,63,102,0.0,0.0
1504703,Moju,additive,0.46919923085653426,80.66666666666667,67,105,0.0,0.0
1504703,Moju,promethee_ii,0.4672873791176801,84.47916666666667,62,113,0.0,0.0
1504703,Moju,topsis,0.45123317255994727,78.3125,60,114,0.0,0.0
1504752,Mojuí dos Campos,additive,0.757931882931883,6.979166666666667,2,21,0.875,1.0
1504752,Mojuí dos Campos,promethee_ii,0.9109715376844396,4.0,2,26,0.8958333333333334,1.0
1504752,Mojuí dos Campos,topsis,0.7162481432024483,8.416666666666666,2,28,0.6666666666666666,1.0
1504802,Monte Alegre,additive,0.63456240728968,33.541666666666664,12,58,0.0,0.6041666666666666
1504802,Monte Alegre,promethee_ii,0.672901211205602,39.020833333333336,14,79,0.0,0.4791666666666667
1504802,Monte Alegre,topsis,0.5498586332700108,46.3125,18,80,0.0,0.3541666666666667
1504901,Muaná,additive,0.7091279932189023,15.208333333333334,2,36,0.3125,1.0
1504901,Muaná,promethee_ii,0.8374165403072461,9.5625,2,23,0.6666666666666666,1.0
1504901,Muaná,topsis,0.6115125561966225,29.791666666666668,5,57,0.16666666666666666,0.7291666666666666
1504950,Nova Esperança do Piriá,additive,0.5145643497916225,63.916666666666664,37,93,0.0,0.0
1504950,Nova Esperança do Piriá,promethee_ii,0.674666524325145,37.9375,17,68,0.0,0.625
1504950,Nova Esperança do Piriá,topsis,0.5255331401504362,52.604166666666664,19,96,0.0,0.3125
1504976,Nova Ipixuna,additive,0.3923779881262006,100.95833333333333,79,119,0.0,0.0
1504976,Nova Ipixuna,promethee_ii,0.46506268647331406,84.52083333333333,57,119,0.0,0.0
1504976,Nova Ipixuna,topsis,0.42411708251088487,83.10416666666667,54,113,0.0,0.0
1505007,Nova Timboteua,additive,0.5967483694756422,44.291666666666664,24,72,0.0,0.3333333333333333
1505007,Nova Timboteua,promethee_ii,0.5639770683931234,63.208333333333336,28,109,0.0,0.041666666666666664
1505007,Nova Timboteua,topsis,0.5211373292428184,55.645833333333336,27,99,0.0,0.22916666666666666
1505031,Novo Progresso,additive,0.6456228956228957,30.729166666666668,8,60,0.041666666666666664,0.6666666666666666
1505031,Novo Progresso,promethee_ii,0.6657305554970984,40.875,13,91,0.0,0.5833333333333334
1505031,Novo Progresso,topsis,0.547408185996314,47.0,13,81,0.0,0.4375
1505064,Novo Repartimento,additive,0.5142644392644392,66.27083333333333,46,90,0.0,0.0
1505064,Novo Repartimento,promethee_ii,0.4497018192307602,88.02083333333333,60,112,0.0,0.0
1505064,Novo Repartimento,topsis,0.460425020104728,77.02083333333333,49,102,0.0,0.0
1505106,Óbidos,additive,0.7128982128982129,14.041666666666666,2,38,0.4166666666666667,0.9791666666666666
1505106,Óbidos,promethee_ii,0.801474864662049,15.520833333333334,2,47,0.5,0.9375
1505106,Óbidos,topsis,0.6496382708868541,20.708333333333332,3,51,0.14583333333333334,0.9166666666666666
1505205,Oeiras do Pará,additive,0.5111423088695816,65.5625,43,81,0.0,0.0
1505205,Oeiras do Pará,promethee_ii,0.5763140167980408,58.520833333333336,31,81,0.0,0.0625
1505205,Oeiras do Pará,topsis,0.4718351851540237,69.79166666666667,34,88,0.0,0.041666666666666664
1505304,Oriximiná,additive,0.5291428268700996,60.875,26,84,0.0,0.10416666666666667
1505304,Oriximiná,promethee_ii,0.6011709124923021,55.041666666666664,21,89,0.0,0.14583333333333334
1505304,Oriximiná,topsis,0.48625926918719586,64.97916666666667,16,91,0.0,0.10416666666666667
1505403,Ourém,additive,0.6561509155354917,27.8125,15,50,0.0,0.8541666666666666
1505403,Ourém,promethee_ii,0.6733486289901723,38.479166666666664,15,83,0.0,0.5
1505403,Ourém,topsis,0.594829370003599,36.895833333333336,16,71,0.0,0.5
1505437,Ourilândia do Norte,additive,0.6550234277507004,27.25,10,49,0.020833333333333332,0.7291666666666666
