municipality_code,municipality,equal_modes__equal_roles__score,equal_modes__equal_roles__rank,equal_modes__availability_emphasis__score,equal_modes__availability_emphasis__rank,equal_modes__proximity_emphasis__score,equal_modes__proximity_emphasis__rank,road_emphasis__equal_roles__score,road_emphasis__equal_roles__rank,road_emphasis__availability_emphasis__score,road_emphasis__availability_emphasis__rank,road_emphasis__proximity_emphasis__score,road_emphasis__proximity_emphasis__rank,water_emphasis__equal_roles__score,water_emphasis__equal_roles__rank,water_emphasis__availability_emphasis__score,water_emphasis__availability_emphasis__rank,water_emphasis__proximity_emphasis__score,water_emphasis__proximity_emphasis__rank,air_emphasis__equal_roles__score,air_emphasis__equal_roles__rank,air_emphasis__availability_emphasis__score,air_emphasis__availability_emphasis__rank,air_emphasis__proximity_emphasis__score,air_emphasis__proximity_emphasis__rank,mean_rank,minimum_rank,maximum_rank,rank_range,mean_score,score_range
1504000,Limoeiro do Ajuru,0.29292929292929293,130,0.2849002849002849,126,0.300958300958301,125,0.2686480186480187,132,0.2579642579642579,134,0.2793317793317794,125,0.37995337995337997,102,0.37606837606837606,93,0.38383838383838387,110,0.2301864801864802,132,0.22066822066822067,130,0.23970473970473974,133,122.66666666666667,93,134,41,0.292929292929293,0.1631701631701632
1504059,Mãe do Rio,0.4681429681429681,75,0.41310541310541304,93,0.5231805231805231,61,0.5643939393939394,43,0.5277777777777777,55,0.601010101010101,41,0.43385780885780884,82,0.364996114996115,98,0.5027195027195027,60,0.4061771561771561,94,0.3465423465423465,101,0.46581196581196577,75,73.16666666666667,41,101,60,0.46814296814296813,0.2544677544677545
1504109,Magalhães Barata,0.4106449106449106,97,0.37244237244237244,106,0.4488474488474488,90,0.5046620046620046,72,0.48445998445998445,71,0.5248640248640248,62,0.37121212121212116,106,0.3214840714840715,118,0.4209401709401709,94,0.356060606060606,109,0.3113830613830614,111,0.4007381507381507,100,94.66666666666667,62,118,56,0.4106449106449106,0.21348096348096346
1504208,Marabá,0.5753690753690753,35,0.6083916083916083,25,0.5423465423465423,50,0.5145687645687645,69,0.5413752913752914,47,0.48776223776223776,81,0.5658508158508159,32,0.6013986013986015,21,0.5303030303030303,49,0.6456876456876457,28,0.6824009324009324,22,0.608974358974359,35,41.166666666666664,21,81,60,0.5753690753690756,0.1946386946386946
1504307,Maracanã,0.4945609945609945,64,0.42372442372442365,88,0.5653975653975652,39,0.5815850815850816,36,0.5287490287490287,53,0.6344211344211343,25,0.4411421911421911,80,0.3646076146076146,99,0.5176767676767676,51,0.4609557109557109,76,0.3778166278166278,91,0.544094794094794,57,63.25,25,99,74,0.4945609945609945,0.26981351981351975
1504406,Marapanim,0.37529137529137524,108,0.3387723387723387,119,0.4118104118104117,99,0.46590909090909094,81,0.44347319347319347,88,0.4883449883449883,80,0.3522727272727273,115,0.30128205128205127,124,0.4032634032634032,102,0.30769230769230765,121,0.2715617715617715,121,0.3438228438228438,114,106.0,80,124,44,0.3752913752913753,0.21678321678321677
1504422,Marituba,0.559052059052059,39,0.5006475006475006,59,0.6174566174566174,27,0.5923659673659674,30,0.559052059052059,40,0.6256798756798756,28,0.550990675990676,37,0.49106449106449107,55,0.6109168609168609,23,0.5337995337995338,54,0.4518259518259518,75,0.6157731157731158,32,41.583333333333336,23,75,52,0.559052059052059,0.1738539238539238
1504455,Medicilândia,0.12276612276612275,143,0.10748510748510746,143,0.138047138047138,142,0.14627039627039629,142,0.13597513597513597,143,0.15656565656565657,142,0.12733100233100236,143,0.10411810411810411,143,0.15054390054390054,143,0.0946969696969697,143,0.08236208236208235,143,0.10703185703185703,143,142.75,142,143,1,0.1227661227661228,0.07420357420357422
1504505,Melgaço,0.35411810411810407,118,0.3869463869463869,104,0.32128982128982125,121,0.2817599067599068,130,0.303030303030303,126,0.26048951048951047,129,0.37164918414918413,105,0.38869463869463866,85,0.3546037296037296,118,0.40894522144522144,91,0.4691142191142191,71,0.34877622377622375,113,109.25,71,130,59,0.35411810411810407,0.2086247086247086
1504604,Mocajuba,0.472027972027972,73,0.4162134162134161,91,0.5278425278425277,58,0.48951048951048953,75,0.4508547008547008,82,0.5281662781662781,60,0.46416083916083917,65,0.4133644133644133,81,0.5149572649572649,54,0.4624125874125874,74,0.3844211344211344,89,0.5404040404040404,60,71.83333333333333,54,91,37,0.47202797202797203,0.15598290598290604
1504703,Moju,0.592074592074592,30,0.6226366226366226,21,0.5615125615125613,42,0.5454545454545454,53,0.5666278166278166,36,0.5242812742812742,63,0.6101398601398601,22,0.6332556332556332,17,0.587024087024087,31,0.6206293706293706,35,0.6680264180264179,28,0.5732323232323232,41,34.916666666666664,17,63,46,0.5920745920745921,0.1437451437451437
1504752,Mojuí dos Campos,0.3512043512043512,119,0.31028231028231024,123,0.39212639212639216,106,0.46707459207459207,80,0.4256021756021756,96,0.5085470085470085,72,0.30827505827505824,130,0.26262626262626265,132,0.35392385392385395,119,0.27826340326340326,127,0.2426184926184926,125,0.3139083139083139,124,112.75,72,132,60,0.3512043512043512,0.2659285159285159
1504802,Monte Alegre,0.4020979020979021,104,0.485107485107485,63,0.31908831908831903,123,0.35139860139860135,113,0.4209401709401709,100,0.2818570318570318,123,0.4169580419580419,91,0.49630924630924633,52,0.3376068376068376,122,0.4379370629370629,84,0.5380730380730381,58,0.33780108780108775,117,95.83333333333333,52,123,71,0.4020979020979021,0.25621600621600626
1504901,Muaná,0.22902097902097898,138,0.22947422947422944,136,0.22856772856772856,137,0.18706293706293706,138,0.18434343434343434,137,0.18978243978243978,137,0.3125,129,0.32148407148407143,119,0.3035159285159285,128,0.1875,136,0.18259518259518256,136,0.1924048174048174,138,134.08333333333334,119,138,19,0.22902097902097898,0.13888888888888887
1504950,Nova Esperança do Piriá,0.24125874125874122,135,0.22766122766122765,137,0.25485625485625485,133,0.28846153846153844,129,0.2925407925407925,128,0.28438228438228436,122,0.24825174825174826,138,0.2156177156177156,140,0.28088578088578087,131,0.18706293706293706,137,0.17482517482517482,137,0.1993006993006993,137,133.66666666666666,122,140,18,0.24125874125874125,0.1177156177156177
1504976,Nova Ipixuna,0.4456099456099456,88,0.39083139083139085,103,0.5003885003885004,71,0.4653263403263403,83,0.4230769230769231,99,0.5075757575757576,73,0.47785547785547783,59,0.41666666666666663,77,0.539044289044289,44,0.3936480186480187,101,0.3327505827505827,105,0.4545454545454545,79,81.83333333333333,44,105,61,0.4456099456099456,0.2062937062937063
1505007,Nova Timboteua,0.5155400155400155,51,0.4509194509194509,71,0.5801605801605801,35,0.6217948717948718,24,0.5753690753690753,31,0.6682206682206682,18,0.4621212121212121,67,0.3885003885003885,86,0.5357420357420357,46,0.4627039627039627,73,0.38888888888888884,86,0.5365190365190364,61,54.083333333333336,18,86,68,0.5155400155400156,0.2797202797202797
1505031,Novo Progresso,0.3131313131313131,124,0.347060347060347,116,0.2792022792022792,128,0.296037296037296,124,0.3214840714840715,121,0.2705905205905206,127,0.23630536130536128,140,0.26126651126651124,133,0.21134421134421133,140,0.40705128205128205,93,0.4584304584304584,74,0.35567210567210567,111,119.25,74,140,66,0.3131313131313131,0.24708624708624705
1505064,Novo Repartimento,0.5155400155400156,50,0.5501165501165501,40,0.48096348096348096,77,0.5238927738927739,60,0.5477855477855478,45,0.5,77,0.469988344988345,62,0.49592074592074586,53,0.44405594405594406,85,0.5527389277389277,52,0.6066433566433567,47,0.4988344988344988,69,59.75,40,85,45,0.5155400155400155,0.1625874125874126
1505106,Óbidos,0.3613053613053613,114,0.44392644392644387,79,0.2786842786842787,129,0.2945804195804196,125,0.3620823620823621,115,0.22707847707847711,132,0.3627622377622377,111,0.4496891996891996,68,0.27583527583527584,134,0.42657342657342656,85,0.52000777000777,64,0.33313908313908314,119,106.25,64,134,70,0.36130536130536123,0.2929292929292929
1505205,Oeiras do Pará,0.364024864024864,113,0.3462833462833462,117,0.3817663817663817,109,0.3945221445221445,104,0.3628593628593628,113,0.42618492618492615,98,0.4122960372960373,93,0.40811965811965806,82,0.41647241647241645,97,0.28525641025641024,125,0.26787101787101786,122,0.3026418026418026,125,108.16666666666667,82,125,43,0.36402486402486395,0.1583139083139083
1505304,Oriximiná,0.31002331002331,127,0.40196840196840194,100,0.21807821807821803,139,0.2517482517482518,134,0.32187257187257184,120,0.1816239316239316,139,0.32080419580419584,125,0.41588966588966586,79,0.2257187257187257,139,0.3575174825174825,108,0.4681429681429681,72,0.24689199689199687,131,117.75,72,139,67,0.31002331002330996,0.2865190365190365
1505403,Ourém,0.4953379953379953,63,0.41802641802641793,90,0.5726495726495726,38,0.5681818181818181,41,0.5104895104895104,62,0.6258741258741258,27,0.4554195804195804,72,0.36946386946386944,96,0.5413752913752914,41,0.4624125874125874,74,0.3741258741258741,92,0.5506993006993006,56,62.666666666666664,27,96,69,0.49533799533799533,0.2564102564102564
1505437,Ourilândia do Norte,0.3407148407148407,120,0.3576793576793576,112,0.32375032375032375,120,0.293997668997669,126,0.3084693084693084,125,0.27952602952602956,124,0.2741841491841492,135,0.28069153069153063,130,0.2676767676767677,135,0.453962703962704,78,0.4838772338772338,67,0.4240481740481741,91,113.58333333333333,67,135,68,0.34071484071484076,0.21620046620046612
