municipality_code,municipality,road_federal_km,road_state_km,road_paved_km,road_unpaved_km,road_total_km,road_structured_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_structured_road_km
1508035,Tracuateua,29.716318,0.019079,29.716318,0.019079,29.735397,1,1,1,874.667407,33.996233,2.604327
1508050,Trairão,115.299364,0.0,0.0,115.299364,115.299364,1,1,0,11998.577104,9.60942,15.852499
1508084,Tucumã,0.0,55.701993,55.701993,0.0,55.701993,1,0,1,2515.186957,22.146263,7.478063
1508100,Tucuruí,64.587679,5.454925,70.042604,0.0,70.042604,1,1,1,2089.846312,33.515672,13.599343
1508126,Ulianópolis,64.124047,86.101764,64.124047,86.101764,150.225811,1,1,1,5121.393868,29.332993,4.462053
1508159,Uruará,109.677825,0.0,0.0,109.677825,109.677825,1,1,0,10791.575108,10.163282,15.005529
1508209,Vigia,0.0,56.102304,56.102304,0.0,56.102304,1,0,1,403.723551,138.962178,0.674754
1508308,Viseu,94.689096,32.468827,25.758902,101.399021,127.157923,1,1,1,5016.390739,25.348488,8.385661
1508357,Vitória do Xingu,56.970566,32.590345,89.560911,0.0,89.560911,1,1,1,3091.48749,28.970168,8.041478
1508407,Xinguara,69.567659,28.813161,91.473503,6.907317,98.38082,1,1,1,3790.279419,25.956086,32.005518
