municipality_code,municipality,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_mapped_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1504976,Nova Ipixuna,0.0,0.0,220.154766,8.384239,139.314199,220.154766,1,0,0,1569.599026,140.261788,1.873375,0,0,18.99706,0,0,31.550067,0.0,0,83.322467,8.177533,1,13.737767
1505007,Nova Timboteua,9.702617,67.841205,145.247293,42.026918,164.317345,222.791115,1,1,1,493.129747,451.790054,0.264711,0,0,26.20391,0,0,23.867792,0.0,0,141.544517,0.0,0,50.903751
1505031,Novo Progresso,274.417415,0.0,1857.613911,1065.8226,559.495288,2132.031326,1,1,0,38177.323409,55.84549,8.163881,0,0,238.709633,12,1,36.599953,0.0,0,401.942193,0.0,0,393.264122
1505064,Novo Repartimento,163.335484,0.0,2027.583394,1216.165349,445.848066,2190.918878,1,1,0,15431.711652,141.975105,1.772234,0,0,100.944163,3,1,40.245305,0.0,0,205.716966,60.982458,1,73.403372
1505106,Óbidos,0.0,127.557868,515.207673,505.062671,31.607808,642.765541,1,0,1,28022.583976,22.937412,99.487417,1,1,183.221756,4,1,45.295109,0.0,0,373.004857,98.797138,1,179.331713
1505205,Oeiras do Pará,67.162831,76.583292,86.504645,196.347694,11.130614,230.250768,1,1,1,3862.186272,59.616692,1.140548,1,1,50.007675,0,0,63.925057,0.0,0,213.36914,36.935202,1,40.066688
1505304,Oriximiná,178.851061,31.498189,424.195477,304.983093,283.77179,634.544728,1,1,1,107788.123887,5.886963,71.51056,8,1,229.82161,9,1,156.796905,0.0,0,531.634669,107.867618,1,230.019064
1505403,Ourém,0.0,22.658344,131.664875,0.0,111.9818,154.323219,1,0,1,565.766173,272.768551,0.804876,0,0,22.881053,0,0,19.696077,0.0,0,113.047909,0.0,0,42.770523
1505437,Ourilândia do Norte,0.0,26.978195,390.007066,214.507169,92.642886,416.985261,1,0,1,14425.230574,28.906662,38.186514,0,0,104.332393,5,1,25.758599,0.0,0,235.215498,0.0,0,346.647125
1505486,Pacajá,125.688946,0.0,555.796033,531.232412,8.523058,681.484978,1,1,0,11853.103182,57.494225,4.096448,0,0,105.495403,1,1,15.66316,0.0,0,137.539377,0.0,0,104.534446
1505494,Palestina do Pará,0.0,0.0,137.484223,7.159715,81.747428,137.484223,1,0,0,989.124689,138.995846,1.843644,0,0,38.488619,1,1,28.716321,0.430503,1,23.713142,0.0,0,107.532452
1505502,Paragominas,75.049914,136.336503,3420.260089,528.182667,2097.558457,3631.646505,1,1,1,19464.631781,186.576687,1.309686,1,1,49.457491,9,1,4.479288,0.0,0,145.027919,0.0,0,149.970282
1505536,Parauapebas,0.0,0.0,553.64414,226.794932,194.680594,553.64414,1,0,0,6898.825799,80.251938,24.202136,0,0,170.248147,2,1,48.317439,0.0,0,163.28186,0.0,0,165.737074
1505551,Pau D'Arco,22.376608,0.0,442.332094,372.51354,6.222485,464.708702,1,1,0,1675.204874,277.404101,1.389605,0,0,86.634346,0,0,24.588067,0.0,0,86.225033,0.0,0,283.742164
1505601,Peixe-Boi,17.084545,19.463645,112.399911,18.003467,80.219927,148.948101,1,1,1,453.346317,328.552577,2.123306,0,0,26.614426,0,0,13.634637,0.0,0,126.892753,0.0,0,60.220879
1505635,Piçarra,1.493769,78.251471,567.693347,1.493769,501.412889,647.438587,1,1,1,3325.209281,194.706117,2.317601,0,0,52.987325,1,1,6.774691,0.505493,1,35.980718,0.0,0,134.923464
1505650,Placas,110.332591,0.0,621.694485,226.438942,381.170841,732.027076,1,1,0,7173.516337,102.045781,2.306304,0,0,103.721391,1,1,22.391527,0.0,0,173.985445,0.0,0,105.079552
1505700,Ponta de Pedras,0.0,0.0,34.348198,0.0,28.328076,34.348198,1,0,0,3376.278468,10.17339,15.925263,2,1,15.558086,1,1,23.60923,0.0,0,318.5715,46.800395,1,13.630503
1505809,Portel,0.0,79.426311,380.172217,335.881494,23.676162,459.598528,1,0,1,25423.014097,18.07805,37.003432,3,1,67.477543,6,1,26.353867,0.0,0,95.747988,9.644467,1,81.244383
1505908,Porto de Moz,0.0,0.0,56.364253,43.279084,4.906099,56.364253,1,0,0,17428.233137,3.234077,61.972359,1,1,60.136422,3,1,22.698718,0.0,0,145.111794,158.905776,1,42.661535
1506005,Prainha,0.0,76.032894,591.33992,452.209462,33.507877,667.372814,1,0,1,14788.616389,45.127468,14.366606,2,1,12.634637,3,1,15.517287,0.0,0,155.258919,90.912765,1,11.067721
1506104,Primavera,0.0,28.02418,67.784847,27.951339,50.336929,95.809026,1,0,1,261.206018,366.794866,1.046104,0,0,10.021761,0,0,33.016925,0.0,0,117.144889,0.0,0,85.382229
1506112,Quatipuru,0.0,20.177606,39.129236,12.522248,32.376259,59.306842,1,0,1,304.848663,194.545192,1.527507,2,1,4.483321,0,0,39.739074,0.0,0,105.729697,0.0,0,100.225332
1506138,Redenção,65.402784,70.721792,525.843278,268.734685,257.609973,661.967854,1,1,1,3832.136984,172.741177,1.310054,0,0,105.638817,5,1,13.270875,0.0,0,108.916229,0.0,0,321.219671
1506161,Rio Maria,55.275489,28.49089,863.039304,418.408661,275.390121,946.805683,1,1,1,4125.198207,229.517622,1.757338,0,0,80.952674,6,1,5.44133,0.0,0,80.944338,0.0,0,246.963152
1506187,Rondon do Pará,0.0,0.0,1117.770313,65.181948,714.754148,1117.770313,1,0,0,8285.139909,134.912666,3.486541,0,0,105.256243,3,1,46.777758,0.0,0,92.436993,0.0,0,106.770405
1506195,Rurópolis,162.058715,0.0,273.325455,181.839844,180.534605,435.384169,1,1,0,7022.972749,61.994284,4.402769,2,1,44.642378,1,1,8.019795,0.0,0,71.997674,0.0,0,39.390548
1506203,Salinópolis,0.0,21.561541,59.684166,14.119771,53.987117,81.245707,1,0,1,227.651395,356.886488,1.070231,1,1,10.411567,1,1,1.915844,0.0,0,146.366827,0.0,0,94.697481
1506302,Salvaterra,0.0,27.625835,94.028457,87.178829,10.493461,121.654292,1,0,1,922.597299,131.860663,0.957345,2,1,13.155077,0,0,16.788975,0.0,0,279.429936,3.764303,1,14.167505
1506351,Santa Bárbara do Pará,0.0,30.025735,27.925511,52.314745,0.0,57.951246,1,0,1,279.562371,207.292725,0.136515,2,1,8.099039,2,1,4.014972,0.0,0,232.246071,0.0,0,27.785407
1506401,Santa Cruz do Arari,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1080.269767,0.0,60.086257,0,0,64.559794,0,0,58.82796,0.0,0,359.526833,0.0,0,65.197084
1506500,Santa Izabel do Pará,22.875853,41.21094,131.998404,124.930511,34.086526,196.085197,1,1,1,721.450346,271.79306,1.294283,0,0,15.825292,1,1,18.116541,0.0,0,212.276025,19.954392,1,15.427857
1506559,Santa Luzia do Pará,48.000227,0.0,154.700431,48.000227,118.729001,202.700658,1,1,0,1356.822609,149.393632,4.635821,0,0,58.562971,1,1,14.629314,0.0,0,77.203002,0.0,0,66.140882
1506583,Santa Maria das Barreiras,90.40747,87.34376,1090.296011,90.40747,891.716697,1268.04724,1,1,1,10351.434016,122.499669,1.548132,1,1,78.717973,15,1,6.836121,0.558762,1,78.61454,0.0,0,389.450531
